vendor_action,action
NotLogged,unknown
Bind,unknown
Listen,unknown
GHBN,unknown
GHBA,unknown
RedirectBind
Establish,allowed
Terminate,unknown
Denied,blocked
Allowed,allowed
Failed,blocked
Intermediate,unknown
SuccessfulConnection,allowed
UnsuccessfulConnection,blocked
Disconnection,unknown
UserclearedQuarantine,unknown
Quarantinetimeout,unknown
